,cosTBz,R2,chiProb,Ks_distChi,m_KSpipi,Mbc,isSignal
54,0.5474325,0.24132839,0.6195071,0.6843106,3.63251,5.263078,0.0
55,0.5237832,0.33809638,0.2209253,2.3390942,2.0403714,5.2613206,0.0
56,0.9791127,0.21987642,0.008560029,1.2459185,3.1475172,5.279605,0.0
57,0.2563006,0.3608555,0.6095973,0.75218683,3.2747355,5.2659454,0.0
58,0.37632087,0.3748103,0.69397885,4.2486954,2.9798708,5.2646923,0.0
59,0.47318465,0.3127208,0.04440094,225.82224,1.3855196,5.273247,1.0
60,0.42220935,0.38474354,0.6862629,1.1935138,2.4030542,5.2781,0.0
61,0.42360193,0.33226514,0.6675962,141.27037,1.7179717,5.281721,1.0
62,0.32037228,0.35143813,0.19115797,97.51026,1.155253,5.2781267,1.0
63,0.58863103,0.36216873,0.88418245,1.4651322,2.1907911,5.2669096,0.0
64,0.17795026,0.15433191,0.34787065,152.56166,1.4682655,5.2786946,1.0
65,0.030132432,0.31923905,0.956686,0.6749022,3.331758,5.2731886,0.0
66,0.09028591,0.18414265,0.80024326,162.11536,1.5968568,5.278322,1.0
67,0.62273645,0.039289013,2.5e-44,3.0563195,3.7157218,5.2722464,0.0
68,0.54463685,0.26213062,0.947085,188.12645,1.2905251,5.275579,1.0
69,0.15259339,0.20017086,0.9125972,272.6771,1.5612627,5.280131,1.0
70,0.6894629,0.34327376,0.06690845,91.4635,1.8591245,5.281621,0.0
71,0.8594295,0.31252828,0.26099214,1.0184264,2.7079651,5.261158,0.0
72,0.14427131,0.21196122,0.35416543,0.38064933,3.0253942,5.2793336,0.0
73,0.88780093,0.18607962,0.44772965,188.77126,2.109074,5.2823305,1.0
74,0.4309982,0.22582482,0.86448914,1.4167739,1.9124281,5.264711,0.0
75,0.5242846,0.35178667,0.8089943,1.1123503,3.40867,5.283067,0.0
76,0.15010928,0.26740128,0.92155004,703.5938,1.7871025,5.2785325,1.0
77,0.22554374,0.2687481,0.21440914,274.12997,1.2343023,5.2830896,1.0
78,0.27798533,0.118586056,0.9170371,409.71555,1.4177364,5.2759447,1.0
79,0.038561273,0.34990248,0.6367975,5.541971,1.5680795,5.282953,1.0
80,0.8446467,0.15114343,0.8556682,465.35718,1.6673294,5.2830973,1.0
81,0.69630533,0.23836495,0.0,2.0831132,3.762088,5.2638416,0.0
82,0.57111967,0.26589918,0.32233974,7.949565,1.3465124,5.286138,1.0
83,0.8038183,0.31780538,2.2792957e-33,13.354641,3.537344,5.261157,0.0
84,0.88456887,0.24065623,0.40818322,49.408737,2.3674462,5.276946,1.0
85,0.5826337,0.22270088,0.10279719,2.3624382,2.9339206,5.272827,0.0
86,0.17129628,0.20982586,3.6433058e-11,3.9680185,2.6846106,5.2884474,0.0
87,0.8143766,0.21494693,0.0032120133,357.68924,1.165904,5.2798166,1.0
88,0.6245504,0.22372216,0.4011745,374.25888,1.4768404,5.2803783,1.0
89,0.52194244,0.2775157,0.91137207,338.36154,1.7794489,5.278537,1.0
90,0.34389517,0.175799,0.0,2.0255141,3.22017,5.27603,0.0
91,0.14619094,0.12634505,4.2891043e-34,202.63678,1.495048,5.279913,1.0
92,0.15263268,0.27292284,0.93486345,460.19266,1.6092827,5.275307,1.0
93,0.0880658,0.2774394,0.3396681,199.68849,2.3828142,5.2837725,1.0
94,0.29534224,0.26490942,0.7871771,1.8913971,3.3286376,5.268535,0.0
95,0.6892795,0.23409313,0.7151535,0.35081014,3.0535905,5.278771,0.0
96,0.42093137,0.24931161,0.027429616,42.372173,1.7043699,5.285004,1.0
97,0.44923353,0.21967632,6.1785745e-06,3.035609,2.9411705,5.2631454,0.0
98,0.17301983,0.27289,0.6200944,153.41052,3.3673775,5.277264,0.0
99,0.4718865,0.21165429,0.4818065,1.0034561,2.7390792,5.2726607,0.0
100,0.63972974,0.27262083,0.20748672,1.1191626,3.3019118,5.275646,0.0
101,0.058351643,0.39825484,0.6410919,0.6204786,3.6206217,5.2649713,0.0
102,0.65528107,0.3370623,0.8564193,1.3798757,3.1729114,5.275547,0.0
103,0.055137873,0.2929747,0.7143598,1.6666439,1.6250262,5.2840734,1.0
104,0.27715042,0.22628418,0.013926745,0.5510071,1.9726275,5.2832413,0.0
105,0.39907503,0.13047725,0.8178523,213.20972,1.3660563,5.2800937,1.0
106,0.58723927,0.26565418,0.8559368,184.13774,1.5086745,5.2786856,1.0
107,0.75221163,0.23816095,0.41563928,38.263786,1.323162,5.2769647,1.0
108,0.34656313,0.34560892,0.5608456,278.00995,3.312614,5.286531,0.0
109,0.5839904,0.0886561,0.00031705826,1154.6853,1.8033969,5.2801824,1.0
110,0.17032348,0.34451076,0.969329,710.58044,1.3196212,5.2779408,1.0
111,0.3438437,0.30395907,0.9428315,14.28012,1.299813,5.280893,1.0
112,0.27815497,0.2331908,0.12817845,13.015736,1.1747314,5.284051,1.0
113,0.24986722,0.32590526,0.38260007,53.70079,3.6931922,5.27699,1.0
114,0.4381397,0.36350042,0.08341039,1.2710576,2.0324125,5.266645,0.0
115,0.15618104,0.34075338,0.37342808,2.1468227,2.9779267,5.2688904,0.0
